InteractionId,Category,Label,DefaultPrompt,PrimaryFeedback,ChainsInto,GameplayTags,UnrealInterface,UnrealComponent,UnrealEvent
examine,discovery,Examine,Examine,journal_update|camera_focus|detail_highlight,diagnose|repair|collect|investigate,interaction.discovery.examine|feedback.journal|world.clue,BPI_Interactable,ROAMInteractionComponent,OnExamine
inspect,discovery,Inspect,Inspect,object_rotate|wear_highlight|symbol_highlight,decode|repair|identify,interaction.discovery.inspect|world.detail|camera.inspect,BPI_Inspectable,ROAMInspectionComponent,OnInspect
discover,discovery,Discover,Discover,knowledge_gained|journal_entry|map_marker,research|collect|track,interaction.discovery.discover|progression.knowledge|journal.discovery,BPI_Discoverable,ROAMDiscoveryComponent,OnDiscover
identify,discovery,Identify,Identify,name_unlocked|history_unlocked|metadata_revealed,repair|operate|catalog,interaction.discovery.identify|knowledge.identity|journal.catalog,BPI_Discoverable,ROAMIdentityComponent,OnIdentify
catalog,discovery,Catalog,Catalog,collection_progress|journal_index|achievement_progress,achievement|npc_dialogue|research,interaction.discovery.catalog|collection.catalog|journal.index,BPI_Catalogable,ROAMCatalogComponent,OnCatalog
read,discovery,Read,Read,text_panel|lore_unlock|code_revealed|map_hint,decode|unlock|navigate,interaction.discovery.read|knowledge.lore|ui.text,BPI_Readable,ROAMReadableComponent,OnRead
listen,discovery,Listen,Listen,audio_clue|directional_hint|sound_visualizer,locate|diagnose|track,interaction.discovery.listen|audio.clue|world.signal,BPI_Audible,ROAMAudioClueComponent,OnListen
scan,discovery,Scan,Scan,scan_overlay|hidden_path_revealed|energy_highlight,repair|activate|trace,interaction.discovery.scan|tool.scanner|overlay.scan,BPI_Scannable,ROAMScanComponent,OnScan
trace,discovery,Trace,Trace,path_highlight|route_line|linked_object_ping,restore|connect|discover,interaction.discovery.trace|world.path|system.linked,BPI_Traceable,ROAMTraceComponent,OnTrace
decode,discovery,Decode,Decode,translation_unlocked|symbol_rewrite|control_unlocked,activate|unlock,interaction.discovery.decode|knowledge.language|progression.key,BPI_Decodable,ROAMDecodeComponent,OnDecode
investigate,discovery,Investigate,Investigate,case_note|clue_thread|new_objective,discover|track|ask,interaction.discovery.investigate|quest.clue|journal.thread,BPI_Investigatable,ROAMInvestigationComponent,OnInvestigate
locate,discovery,Locate,Locate,map_marker|compass_pulse|route_hint,navigate|track|discover,interaction.discovery.locate|map.marker|navigation.target,BPI_Locatable,ROAMLocateComponent,OnLocate
research,discovery,Research,Research,knowledge_entry|new_recipe|historical_context,identify|craft|teach,interaction.discovery.research|knowledge.research|journal.reference,BPI_Researchable,ROAMResearchComponent,OnResearch
track,discovery,Track,Track,trail_highlight|staged_clues|distance_indicator,locate|discover|investigate,interaction.discovery.track|navigation.trail|world.clue,BPI_Trackable,ROAMTrackComponent,OnTrack
diagnose,repair_restoration,Diagnose,Diagnose,fault_highlight|missing_parts|repair_steps,gather|repair,interaction.repair.diagnose|state.broken|repair.fault,BPI_Repairable,ROAMRepairComponent,OnDiagnose
